,0
0,Connecticut
1,Delaware
2,Idaho
3,Illinois
4,Iowa
5,Kansas
6,Kentucky
7,Louisiana
8,Maine
9,Maryland
10,Massachusetts
11,Minnesota
12,Missouri
13,Montana
14,Nebraska
15,Nevada
16,New Hampshire
17,New Jersey
18,New Mexico
19,North Dakota
20,Oklahoma
21,Oregon
22,Rhode Island
23,South Carolina
24,South Dakota
25,Tennessee
26,Utah
27,Virginia
28,Washington
29,West Virginia
30,Wisconsin
